,age,all star,birth date,death date,death year,experience,first year,games,last year,link,name,position
129,26,0,12/4/1917,11/11/1944,1944,1,1941,11,1941,/players/B/BascNi20.htm,Nick Basca,HB
130,43,0,1/3/1901,12/27/1944,1944,1,1924,5,1924,/players/C/CassWa20.htm,Walt Cassidy,E
131,54,0,1/30/1890,5/29/1944,1944,3,1920,30,1922,/players/C/CoplCh20.htm,Charlie Copley,T-E
132,45,0,6/8/1899,8/31/1944,1944,1,1923,9,1923,/players/C/CranJa20.htm,Jack Crangle,B
133,56,0,9/5/1888,11/23/1944,1944,5,1920,27,1924,/players/E/EdwaCa20.htm,Cap Edwards,G/Coach
134,49,0,5/9/1895,6/19/1944,1944,2,1920,7,1921,/players/H/HaggDo20.htm,Doc Haggerty,G
135,52,0,11/6/1892,11/12/1944,1944,2,1920,2,1921,/players/H/HickMa21.htm,Max Hicks,E/Coach
136,37,0,6/30/1907,12/10/1944,1944,1,1932,12,1932,/players/H/HintGr20.htm,Grassy Hinton,TB-QB
137,36,0,10/28/1907,1/2/1944,1944,1,1931,10,1931,/players/H/HurlJo21.htm,John Hurley,E
138,25,0,11/19/1919,12/23/1944,1944,1,1943,9,1943,/players/K/KetzAl20.htm,Alex Ketzko,T
139,36,0,9/16/1907,8/12/1944,1944,5,1930,48,1935,/players/M/MoonJi20.htm,Jim Mooney,E-T-G
140,43,0,2/9/1901,7/1/1944,1944,2,1925,4,1926,/players/M/MyerTo20.htm,Tommy Myers,B
141,39,0,3/16/1905,4/24/1944,1944,1,1926,7,1926,/players/R/ReicLo20.htm,Lou Reichel,C
142,45,0,8/16/1899,9/24/1944,1944,1,1926,1,1926,/players/S/ScanDe20.htm,Dewey Scanlon,WB/Coach
143,47,0,12/14/1896,4/13/1944,1944,2,1923,20,1924,/players/S/SmitLe21.htm,Len Smith,T
144,25,0,12/11/1918,9/17/1944,1944,1,1945,2,1945,/players/S/SnelKe20.htm,Ken Snelling,FB-LB
145,46,0,3/6/1898,9/12/1944,1944,6,1923,61,1930,/players/S/SonnGu20.htm,Gus Sonnenberg,T-FB-TB
146,50,0,12/12/1893,7/23/1944,1944,1,1923,1,1923,/players/V/VassRo20.htm,Roy Vassau,T
147,26,0,3/19/1918,9/5/1944,1944,1,1942,6,1942,/players/W/WettCh20.htm,Chet Wetterlund,TB-DB
148,53,0,7/20/1891,11/11/1944,1944,1,1920,5,1920,/players/W/WinsCh20.htm,Charlie Winston,G
149,51,0,1/21/1894,12/8/1945,1945,6,1920,36,1925,/players/A/ArguBo20.htm,Bob Argus,WB-FB-TB-BB
150,24,0,8/4/1920,5/18/1945,1945,1,1942,9,1942,/players/B/BehaCh20.htm,Charlie Behan,E
151,26,1,1/5/1919,1/31/1945,1945,3,1942,23,1944,/players/B/BlozAl20.htm,Al Blozis,T
152,41,0,10/15/1903,1/8/1945,1945,4,1930,25,1933,/players/B/BraiCh20.htm,Chuck Braidwood,E
153,42,0,5/19/1903,10/19/1945,1945,2,1927,14,1931,/players/B/BuckTe21.htm,Ted Bucklin,FB-G
154,36,0,8/8/1909,8/9/1945,1945,3,1931,32,1933,/players/B/BurdLl20.htm,Lloyd Burdick,T
155,27,1,10/4/1917,1/7/1945,1945,1,1941,10,1941,/players/B/BussYo20.htm,Young Bussey,QB
156,38,0,8/14/1906,2/19/1945,1945,,,,,/coaches/ChevJa0.htm,Jack Chevigny,Coach
157,51,0,5/21/1894,8/4/1945,1945,3,1921,24,1925,/players/C/ConoLa20.htm,Larry Conover,C
158,55,0,6/6/1889,3/23/1945,1945,3,1921,14,1923,/players/G/GausDu20.htm,Dutch Gaustad,G
159,27,0,11/6/1917,8/28/1945,1945,2,1939,9,1940,/players/G/GermJi20.htm,Jimmy German,TB
160,,0,,12/19/1945,1945,1,1926,7,1926,/players/G/GorrFl20.htm,Flop Gorrill,E
161,40,0,1/7/1905,7/2/1945,1945,1,1928,11,1928,/players/G/GrubFr20.htm,Frank Grube,E
162,48,0,11/21/1896,7/13/1945,1945,2,1922,17,1923,/players/H/HayeNo20.htm,Norbert Hayes,E-FB
163,28,0,9/22/1916,2/26/1945,1945,2,1940,22,1941,/players/J/JohnSm20.htm,Smiley Johnson,G-LB
164,33,0,11/9/1911,2/17/1945,1945,3,1935,24,1937,/players/K/KahnEd20.htm,Eddie Kahn,G
165,49,0,8/5/1896,12/10/1945,1945,4,1923,21,1926,/players/K/KielHo20.htm,Howard Kieley,T
166,39,0,10/4/1905,5/7/1945,1945,1,1928,3,1928,/players/L/LollSl20.htm,Slick Lollar,B
167,29,0,10/22/1915,3/8/1945,1945,1,1941,9,1941,/players/L/LummJa20.htm,Jack Lummus,E
168,45,0,7/30/1899,1/7/1945,1945,1,1925,1,1925,/players/M/MagnGl20.htm,Glen Magnusson,G
169,54,0,3/19/1890,1/3/1945,1945,1,1921,1,1921,/players/M/MeisBi20.htm,Bill Meisner,WB
170,40,0,3/22/1905,5/1/1945,1945,8,1929,77,1936,/players/P/PearBe20.htm,Bert Pearson,C-G
171,44,0,8/23/1900,6/27/1945,1945,2,1922,3,1923,/players/R/RobeRe20.htm,Red Roberts,T-E-TB-G
172,71,0,10/15/1873,3/10/1945,1945,,,,,/coaches/RobiEd0.htm,Ed Robinson,Coach
173,44,0,11/14/1900,4/11/1945,1945,2,1922,9,1924,/players/S/SeasGe20.htm,George Seasholtz,B
174,45,0,6/2/1900,10/5/1945,1945,2,1923,18,1924,/players/W/WintSo20.htm,Sonny Winters,BB-QB
175,28,0,9/4/1916,1/9/1945,1945,2,1939,22,1940,/players/Y/YounWa20.htm,Waddy Young,E
176,58,0,11/9/1887,7/23/1946,1946,1,1921,1,1921,/players/B/BrumFr20.htm,Fred Brumm,T-C
177,41,0,4/28/1905,5/16/1946,1946,1,1930,1,1930,/players/C/ChriKo20.htm,Koester Christensen,E
178,54,0,2/8/1892,5/10/1946,1946,1,1920,2,1920,/players/C/ClarBi21.htm,Bill Clark,G
179,44,0,7/14/1901,2/7/1946,1946,1,1926,2,1926,/players/C/ConnWa20.htm,Ward Connell,B-E
180,42,0,6/4/1903,4/13/1946,1946,1,1922,7,1922,/players/D/DaviPa20.htm,Pahl Davis,G-E-FB
181,47,0,9/4/1898,5/18/1946,1946,1,1925,1,1925,/players/D/DrumWo20.htm,Wop Drumstead,G
182,50,0,10/17/1895,2/14/1946,1946,3,1920,6,1923,/players/H/HaleAr20.htm,Art Haley,HB
183,48,0,12/10/1897,9/3/1946,1946,8,1923,97,1930,/players/H/HannDu20.htm,Duke Hanny,E-T-G-FB
184,51,0,4/21/1895,11/28/1946,1946,1,1920,1,1920,/players/H/HenrTo20.htm,Tom Henry,WB
185,30,0,12/4/1915,6/28/1946,1946,1,1938,6,1938,/players/H/HoweJo20.htm,John Howell,HB
186,47,0,12/7/1898,10/1/1946,1946,1,1921,3,1921,/players/H/HudsJo21.htm,Johnnie Hudson,HB-FB
187,32,0,11/14/1913,8/25/1946,1946,1,1936,10,1936,/players/J/JackDo20.htm,Don Jackson,TB-DB
188,30,0,12/21/1915,1/22/1946,1946,1,1937,7,1937,/players/K/KizzLe20.htm,Lee Kizzire,FB
189,36,0,1/25/1910,10/22/1946,1946,2,1932,17,1933,/players/L/LedbDo20.htm,Doc Ledbetter,FB-HB
190,29,0,6/6/1916,5/6/1946,1946,1,1943,2,1943,/players/S/SadeSt20.htm,Steve Sader,FB
191,44,0,2/10/1903,9/17/1947,1947,4,1926,19,1929,/players/B/BeckJo21.htm,Johnnie Becker,T-G-B
192,45,0,9/5/1901,3/26/1947,1947,5,1925,35,1930,/players/B/BlooAl20.htm,Al Bloodgood,B
193,52,0,7/19/1894,2/23/1947,1947,2,1920,7,1921,/players/B/BricGe20.htm,George Brickley,B
194,60,0,9/6/1886,7/9/1947,1947,1,1920,1,1920,/players/B/BroaMa20.htm,Max Broadhurst,T
195,26,0,7/15/1921,10/24/1947,1947,1,1947,3,1947,/players/B/BurkJe20.htm,Jeff Burkett,E-DB
196,50,0,2/17/1897,10/3/1947,1947,1,1920,1,1920,/players/C/CharLe20.htm,Len Charpier,FB
197,29,0,8/27/1918,12/31/1947,1947,2,1944,14,1945,/players/F/FoltVe20.htm,Vern Foltz,C-LB
198,49,0,10/14/1897,3/12/1947,1947,3,1920,10,1925,/players/F/FortBi20.htm,Bill Fortune,G
199,35,0,12/13/1911,5/16/1947,1947,3,1935,15,1937,/players/F/FranRe20.htm,Red Franklin,TB-HB
200,45,0,3/1/1902,12/31/1947,1947,3,1928,9,1932,/players/G/GrifHa20.htm,Hal Griffen,C-T/Coach
201,49,0,12/4/1897,11/9/1947,1947,1,1930,2,1930,/players/H/HenrWi20.htm,Wilbur Henry,G
202,37,0,10/8/1909,1/14/1947,1947,9,1932,101,1943,/players/H/HewiBi20.htm,Bill Hewitt,E-DE
203,64,0,6/26/1883,10/28/1947,1947,3,1921,11,1923,/players/I/IrgeBi20.htm,Bill Irgens,B-E
204,53,0,3/22/1894,10/24/1947,1947,2,1921,10,1922,/players/J/JohnJe20.htm,Jerry Johnson,TB-WB-FB-BB
205,53,0,3/18/1893,2/17/1947,1947,1,1924,1,1924,/players/K/KindSh20.htm,Shine Kinderdine,G
206,43,0,10/9/1903,3/2/1947,1947,1,1929,7,1929,/players/K/KittPa20.htm,Paul Kittredge,B
207,,0,,11/26/1947,1947,1,1922,2,1922,/players/L/LehrCh20.htm,Chris Lehrer,HB-FB
208,55,0,3/21/1891,2/10/1947,1947,1,1921,1,1921,/players/M/McLaTo20.htm,Tom McLaughlin,FB
209,46,0,7/31/1900,1/19/1947,1947,9,1923,92,1931,/players/O/ODonDi20.htm,Dick O'Donnell,E
210,53,0,8/27/1893,6/10/1947,1947,1,1922,3,1922,/players/P/PadaBo20.htm,Bob Padan,TB-WB
211,42,0,1/29/1905,3/13/1947,1947,1,1927,4,1927,/players/R/RebsPa20.htm,Paul Rebsamen,C
212,,0,,4/28/1947,1947,6,1921,22,1927,/players/R/RoyxSp20.htm,Spin Roy,E
213,52,0,2/2/1895,10/4/1947,1947,1,1922,5,1922,/players/S/St.GTe20.htm,Ted St. Germaine,T-C-G
214,48,0,8/21/1899,8/21/1947,1947,1,1924,3,1924,/players/W/WoltWh20.htm,Whitey Wolter,TB-WB-BB
215,36,0,4/4/1910,2/22/1947,1947,3,1931,27,1933,/players/W/WoodLe20.htm,Lee Woodruff,B
216,51,0,1/28/1896,6/30/1947,1947,1,1920,1,1920,/players/Y/YergHo20.htm,Howard Yerges,TB
217,48,0,7/9/1899,2/26/1948,1948,4,1926,39,1929,/players/A/AshmRo20.htm,Roger Ashmore,T
218,26,0,2/6/1922,8/29/1948,1948,2,1946,20,1947,/players/C/CalcRa20.htm,Ralph Calcagni,T
219,42,0,1/12/1906,10/18/1948,1948,1,1931,1,1931,/players/D/DanzFr20.htm,Fred Danziger,FB
220,54,0,10/14/1893,6/5/1948,1948,8,1920,64,1927,/players/D/DoanDi20.htm,Dinger Doane,FB
221,61,0,10/15/1886,9/3/1948,1948,3,1922,20,1924,/players/F/FostBo20.htm,Bob Foster,B-G-T
222,48,0,6/4/1899,3/11/1948,1948,1,1921,1,1921,/players/F/FultKe20.htm,Ken Fulton,G
223,53,0,10/5/1894,9/6/1948,1948,7,1920,45,1926,/players/G/GillHa20.htm,Hank Gillo,B/Coach
224,48,0,9/25/1899,8/26/1948,1948,5,1922,35,1931,/players/J/JollAl20.htm,Al Jolley,T/Coach
225,48,0,7/11/1899,3/5/1948,1948,1,1921,1,1921,/players/L/LiveMi20.htm,Mickey Livers,FB
226,27,0,12/27/1920,9/25/1948,1948,3,1946,19,1948,/players/M/MaulSt20.htm,Stan Mauldin,T
227,48,0,7/16/1899,3/21/1948,1948,2,1923,20,1924,/players/M/McGiLa20.htm,Larry McGinnis,G-C-E
228,55,0,6/9/1892,4/26/1948,1948,1,1925,6,1925,/players/M/MeriLo20.htm,Lou Merillat,E
229,57,0,6/15/1891,8/9/1948,1948,1,1921,5,1921,/players/R/RuppNe20.htm,Nelson Rupp,WB-FB
230,52,0,11/11/1895,6/13/1948,1948,6,1921,49,1926,/players/S/SmitRu20.htm,Russ Smith,G-C
231,51,0,5/15/1897,12/11/1948,1948,4,1920,32,1925,/players/S/SpagBu20.htm,Butch Spagna,G-T
232,55,0,5/20/1893,10/3/1948,1948,2,1921,4,1922,/players/S/SpaiDi20.htm,Dick Spain,C-T
233,56,0,4/8/1891,3/21/1948,1948,1,1920,7,1920,/players/S/SpecRo20.htm,Robert Specht,WB-TB
234,44,0,6/4/1903,2/9/1948,1948,1,1927,10,1927,/players/S/StepRa20.htm,Ray Stephens,C-G
