,age,birth date,death date,death season,first year,games,last year,link,name,position
21,35,1904-01-14,1939-08-25,1939,1926,594,1939,/players/s/siebeba01.html,Babe Siebert,LW/D
22,45,1894-05-25,1940-05-21,1940,1927,147,1930,/players/m/mackami01.html,Mickey MacKay,C
23,42,1898-05-15,1940-11-17,1941,1927,142,1930,/players/b/boydbi01.html,Bill Boyd,RW
24,53,1888-02-21,1941-06-27,1941,1918,103,1928,/players/h/holmeha01.html,Hap Holmes,G
25,47,1893-08-03,1940-09-04,1941,1920,10,1920,/players/m/mcnamho01.html,Howard McNamara,D
26,32,1909-02-15,1942-02-05,1942,1931,34,1931,/players/l/lyonsro01.html,Ron Lyons,LW
27,48,1893-07-09,1942-05-08,1942,1920,22,1922,/players/m/mitchiv01.html,Mike Mitchell,G
28,41,1901-01-18,1942-03-25,1942,1924,133,1930,/players/s/sprinje01.html,Jesse Spring,D
29,48,1894-02-09,1942-09-21,1943,1918,258,1927,/players/c/corbebe01.html,Bert Corbeau,D
30,30,1913-06-02,1943-08-01,1943,1937,27,1940,/players/d/deacodo01.html,Don Deacon,LW
31,48,1895-01-26,1943-11-01,1944,1919,114,1924,/players/a/arbouam01.html,Amos Arbour,LW
32,36,1907-07-05,1944-03-15,1944,1931,37,1935,/players/c/carrige01.html,Gene Carrigan,C
33,49,1894-10-10,1944-01-18,1944,1921,27,1926,/players/g/grahale01.html,Leth Graham,LW
34,20,1924-07-24,1944-11-24,1945,1943,23,1943,/players/g/garrere01.html,Red Garrett,D
35,40,1904-02-05,1944-12-26,1945,1930,37,1931,/players/m/mannere01.html,Rennison Manners,C
36,60,1885-06-11,1945-08-20,1945,1918,7,1920,/players/m/marksja01.html,Jack Marks,LW/D
37,25,1919-03-28,1945-01-12,1945,1942,1,1942,/players/t/turnejo01.html,Joe Turner,G
38,56,1889-08-25,1945-12-09,1946,1918,106,1923,/players/m/mummeha01.html,Harry Mummery,D
39,46,1900-10-05,1946-10-10,1947,1927,412,1937,/players/c/chabolo01.html,Lorne Chabot,G
40,42,1904-12-03,1947-03-02,1947,1928,132,1931,/players/c/connoha01.html,Harry Connor,LW
41,58,1888-12-14,1947-06-17,1947,1918,219,1927,/players/r/randake01.html,Ken Randall,RW/D
42,49,1898-11-04,1948-07-07,1948,1925,17,1925,/players/p/parkeer01.html,Ernie Parkes,RW
43,43,1905-03-19,1948-08-24,1948,1933,4,1933,/players/t/thorsjo01.html,Joe Thorsteinson,RW
44,49,1899-04-01,1949-01-21,1949,1926,317,1933,/players/m/milkshi01.html,Hib Milks,LW/C
45,52,1896-08-23,1948-12-05,1949,1927,130,1929,/players/t/traubpe01.html,Percy Traub,D
46,48,1901-10-22,1949-11-02,1950,1927,368,1936,/players/b/brydgbi01.html,Bill Brydge,D
47,44,1905-10-19,1950-03-21,1950,1928,67,1933,/players/g/gaudrle01.html,Leo Gaudreault,LW/C
48,54,1895-04-17,1949-10-08,1950,1925,195,1929,/players/m/mckinal01.html,Alex McKinnon,RW
49,54,1895-04-25,1949-10-06,1950,1922,9,1922,/players/s/smithgl01.html,Glenn Smith,D
50,61,1888-11-29,1950-02-16,1950,1927,84,1928,/players/w/walkeja01.html,Jack Walker,F
51,49,1900-06-26,1949-12-02,1950,1926,204,1931,/players/w/whitete01.html,Tex White,RW
52,24,1927-03-25,1951-08-26,1951,1947,252,1951,/players/b/barilbi01.html,Bill Barilko,D
53,50,1900-11-20,1950-11-30,1951,1923,390,1933,/players/b/burchbi01.html,Billy Burch,C/LW
54,32,1918-10-20,1950-12-12,1951,1945,2,1945,/players/d/drummji01.html,Jim Drummond,D
55,55,1895-06-26,1950-10-09,1951,1927,465,1937,/players/h/hainsge01.html,George Hainsworth,G
56,51,1899-10-13,1950-12-03,1951,1926,8,1926,/players/h/hallbo01.html,Bob Hall,F
57,30,1921-02-25,1951-03-10,1951,1943,15,1946,/players/h/holotjo01.html,John Holota,C
58,53,1897-12-07,1951-03-29,1951,1926,33,1926,/players/l/lepinhe01.html,Hec Lepine,C
59,60,1891-06-10,1952-06-03,1952,1918,67,1924,/players/b/bellbi01.html,Billy Bell,C/RW
60,35,1916-10-09,1951-12-29,1952,1939,12,1940,/players/k/keatija01.html,Jack Keating,LW
61,38,1913-08-30,1952-03-09,1952,1937,16,1938,/players/m/mackiho01.html,Howie Mackie,RW/D
62,47,1905-02-08,1952-12-11,1953,1928,489,1939,/players/a/auriela01.html,Larry Aurie,RW
63,52,1900-07-23,1953-02-11,1953,1924,76,1926,/players/c/campbea01.html,Earl Campbell,D
64,55,1898-04-25,1953-08-10,1953,1925,1,1925,/players/j/joliare01.html,Rene Joliat,RW/D
65,56,1895-12-12,1952-09-30,1953,1928,43,1928,/players/r/ramsabe01.html,Beattie Ramsay,D
66,42,1911-03-23,1953-04-06,1953,1933,429,1944,/players/s/sandsch01.html,Charlie Sands,C/RW
67,50,1904-01-04,1954-06-05,1954,1926,32,1927,/players/c/cahilch01.html,Charles Cahill,RW
68,63,1890-02-06,1953-10-20,1954,1918,129,1923,/players/c/camerha01.html,Harry Cameron,D
69,53,1901-05-24,1954-05-26,1954,1926,498,1937,/players/c/conacli01.html,Lionel Conacher,D
70,47,1906-03-14,1954-01-11,1954,1931,117,1934,/players/f/filmoto01.html,Tommy Filmore,RW
71,63,1892-05-24,1955-07-18,1955,1922,223,1929,/players/b/bouched01.html,Edmond Bouchard,LW/D
72,55,1899-07-17,1955-07-04,1955,1925,295,1932,/players/c/coopeca01.html,Carson Cooper,RW
73,47,1907-11-18,1955-05-16,1955,1933,7,1933,/players/h/hansoem01.html,Emil Hanson,RW/D
74,54,1901-07-30,1955-08-02,1955,1926,526,1938,/players/l/lepinpi01.html,Pit Lepine,C
75,26,1928-09-21,1955-08-08,1955,1950,77,1952,/players/l/lowero01.html,Ross Lowe,D/LW
76,62,1893-04-12,1955-04-15,1955,1925,261,1931,/players/m/mccafbe01.html,Bert McCaffrey,RW/D
77,54,1900-01-12,1955-01-01,1955,1926,31,1926,/players/r/rheauhe01.html,Herb Rheaume,G
78,64,1891-09-19,1956-07-14,1956,1919,182,1928,/players/c/cleghod01.html,Odie Cleghorn,RW/C
79,66,1890-03-11,1956-07-12,1956,1919,259,1928,/players/c/cleghsp01.html,Sprague Cleghorn,D
80,57,1898-08-27,1955-11-28,1956,1922,86,1927,/players/j/jacksst01.html,Stan Jackson,LW
81,49,1907-05-15,1956-06-25,1956,1936,8,1936,/players/m/marklja01.html,Jack Markle,RW
82,61,1895-03-04,1956-03-14,1956,1926,18,1926,/players/m/morrijo01.html,John Morrison,LW
83,45,1910-10-15,1956-04-21,1956,1931,65,1936,/players/p/pusieje01.html,Jean Pusie,D
84,64,1892-03-20,1956-05-29,1956,1927,75,1928,/players/w/winklha01.html,Hal Winkler,G
85,55,1902-01-12,1957-04-21,1957,1926,248,1934,/players/c/carsofr01.html,Frank Carson,RW
86,51,1905-10-10,1956-11-01,1957,1929,260,1937,/players/c/carsoge01.html,Gerry Carson,D
87,55,1902-01-05,1957-01-29,1957,1928,8,1928,/players/c/chouige01.html,Gene Chouinard,D
88,64,1892-07-19,1957-05-16,1957,1927,95,1929,/players/i/irvindi01.html,Dick Irvin,C
89,53,1904-07-10,1957-07-14,1957,1930,100,1932,/players/m/massege01.html,George Massecar,LW
90,45,1911-09-09,1956-11-22,1957,1938,2,1938,/players/n/nichohi01.html,Hickey Nicholson,LW
91,59,1897-12-01,1957-04-12,1957,1922,2,1922,/players/n/nolanpa01.html,Paddy Nolan,LW/D
92,54,1902-12-29,1957-08-21,1957,1926,650,1940,/players/s/stewane01.html,Nels Stewart,C
93,50,1906-06-25,1956-12-13,1957,1929,446,1939,/players/t/trottda01.html,Dave Trottier,LW
94,56,1902-02-08,1958-05-10,1958,1925,418,1937,/players/c/conneal01.html,Alec Connell,G
95,63,1893-12-19,1957-12-14,1958,1925,1,1925,/players/i/ingrajo01.html,John Ingram,C
96,53,1904-09-08,1958-06-20,1958,1931,11,1931,/players/m/maracbu01.html,Bud Maracle,LW
97,49,1908-06-16,1958-06-02,1958,1930,74,1934,/players/m/mccabst01.html,Stan McCabe,LW
98,70,1887-02-28,1958-01-24,1958,1918,70,1922,/players/m/mcdonja01.html,Jack McDonald,LW
99,36,1921-11-24,1958-01-24,1958,1944,43,1944,/players/m/mcdonja02.html,Jack McDonald,RW
100,63,1895-04-03,1958-04-08,1958,1927,35,1928,/players/m/moranam01.html,Amby Moran,D
101,56,1901-01-19,1958-01-03,1958,1925,239,1932,/players/m/munrodu01.html,Dunc Munro,D
102,57,1900-10-19,1957-11-07,1958,1926,455,1937,/players/w/wortero01.html,Roy Worters,G
103,72,1887-05-26,1959-06-01,1959,1918,193,1926,/players/b/berlilo01.html,Louis Berlinguette,LW
104,59,1899-11-10,1958-11-10,1959,1922,213,1928,/players/b/bouchbi01.html,Billy Boucher,RW
105,54,1904-08-13,1959-07-01,1959,1926,72,1933,/players/h/harriha01.html,Hago Harrington,LW
106,55,1903-04-13,1958-09-14,1959,1927,402,1935,/players/h/himesno01.html,Normie Himes,C
107,73,1885-11-30,1958-12-24,1959,1918,9,1920,/players/m/merriho01.html,Horace Merrill,D
108,56,1903-03-23,1959-05-29,1959,1925,26,1926,/players/s/schnawe01.html,Werner Schnarr,C
109,70,1888-06-03,1959-05-13,1959,1920,12,1920,/players/s/smithdo01.html,Don Smith,LW/C
110,56,1903-07-03,1960-04-12,1960,1933,15,1933,/players/b/bellean01.html,Andy Bellemer,D
111,40,1920-02-04,1960-08-09,1960,1942,392,1952,/players/b/brownad01.html,Adam Brown,LW
112,65,1894-03-07,1959-11-25,1960,1918,71,1922,/players/b/brucemo01.html,Morley Bruce,D/C
113,54,1905-02-25,1959-10-01,1960,1940,52,1941,/players/g/goodmpa01.html,Paul Goodman,G
114,63,1896-07-17,1960-04-19,1960,1924,103,1927,/players/g/greensh01.html,Shorty Green,RW
115,48,1911-12-18,1960-05-16,1960,1934,36,1937,/players/k/kalbfwa01.html,Walter Kalbfleisch,D
116,52,1907-01-26,1959-09-06,1960,1928,3,1928,/players/l/laudema01.html,Martin Lauder,D/C
117,80,1879-07-17,1960-01-09,1960,1918,18,1918,/players/l/lavioja01.html,Jack Laviolette,D/W
118,50,1909-07-11,1960-06-11,1960,1933,36,1933,/players/m/mackecl01.html,Clarence MacKenzie,RW
119,54,1905-08-21,1960-08-19,1960,1933,37,1935,/players/m/moffaro01.html,Ron Moffat,LW
120,76,1883-12-31,1960-06-01,1960,1927,1,1927,/players/p/patrile01.html,Lester Patrick,D
121,62,1897-03-23,1959-12-02,1960,1927,111,1933,/players/w/walshfl01.html,Flat Walsh,G
122,64,1896-08-17,1960-10-17,1961,1918,450,1932,/players/b/bouchge01.html,Georges Boucher,D
123,40,1921-07-05,1961-08-13,1961,1945,317,1952,/players/e/eddolfr01.html,Frank Eddolls,D
124,62,1898-12-05,1961-06-19,1961,1927,348,1934,/players/g/galbrpe01.html,Percy Galbraith,LW/D
125,62,1899-03-09,1961-03-14,1961,1926,52,1930,/players/h/holmebi01.html,Bill Holmes,C
126,48,1913-04-19,1961-05-05,1961,1934,130,1937,/players/k/kaminma01.html,Max Kaminsky,C
127,44,1916-10-01,1961-01-11,1961,1942,236,1947,/players/l/lamoule01.html,Leo Lamoureux,C/D
128,75,1885-10-27,1961-04-12,1961,1927,48,1928,/players/l/lehmahu01.html,Hugh Lehman,G
129,79,1881-07-23,1960-11-11,1961,1918,20,1919,/players/l/lindsbe01.html,Bert Lindsay,G
130,68,1893-03-06,1961-06-13,1961,1920,68,1926,/players/m/mattejo01.html,Joe Matte,D
131,71,1889-09-26,1961-07-01,1961,1918,1,1918,/players/s/skiltra01.html,Raymie Skilton,D
132,65,1896-01-26,1961-04-11,1961,1918,71,1926,/players/s/skinnal01.html,Alf Skinner,RW
133,62,1899-03-22,1962-01-13,1962,1925,61,1926,/players/c/cainfr01.html,Francis Cain,D
134,54,1907-05-07,1961-10-02,1962,1930,348,1938,/players/c/cookto01.html,Tom Cook,C
135,63,1898-05-13,1962-01-03,1962,1920,272,1931,/players/d/dyeba01.html,Babe Dye,RW
136,54,1908-04-25,1962-08-04,1962,1933,48,1933,/players/f/forslgu01.html,Gus Forslund,RW
137,57,1904-04-10,1962-01-16,1962,1928,247,1935,/players/g/gainodu01.html,Dutch Gainor,C
138,65,1896-04-12,1961-11-25,1962,1920,45,1921,/players/m/mackeja01.html,Jack MacKell,RW/D
139,65,1896-06-23,1962-01-19,1962,1918,510,1933,/players/n/noblere01.html,Reg Noble,C/D
140,55,1906-05-30,1962-03-26,1962,1929,280,1935,/players/r/riplevi01.html,Vic Ripley,LW
141,55,1906-11-29,1962-05-16,1962,1928,144,1931,/players/s/smithar01.html,Art Smith,D
142,70,1892-06-05,1962-07-06,1962,1920,130,1927,/players/w/wilsocu01.html,Cully Wilson,RW
143,72,1890-06-15,1963-04-30,1963,1920,45,1921,/players/c/carpeed01.html,Ed Carpenter,D
144,56,1906-05-29,1962-12-31,1963,1931,431,1940,/players/c/chapmar01.html,Art Chapman,C
145,68,1894-01-25,1963-01-16,1963,1918,176,1928,/players/d/denneco01.html,Corb Denneny,C
146,70,1892-09-25,1963-03-10,1963,1925,111,1928,/players/g/gormaed01.html,Ed Gorman,D
147,52,1910-11-08,1963-08-10,1963,1931,380,1939,/players/g/gracibo01.html,Bob Gracie,C/LW
148,61,1901-02-14,1963-01-23,1963,1926,6,1926,/players/l/larosbo01.html,Bonner Larose,LW
149,62,1900-10-06,1963-08-12,1963,1928,130,1931,/players/m/millejo01.html,Joe Miller,G
150,55,1908-06-27,1963-08-19,1963,1931,18,1937,/players/r/radleyi01.html,Yip Radley,D
151,60,1903-01-07,1963-08-24,1963,1925,717,1941,/players/s/smithho01.html,Hooley Smith,C/RW
152,64,1900-05-28,1964-08-01,1964,1927,333,1934,/players/a/abelcl01.html,Clarence Abel,D
153,59,1904-10-25,1964-07-19,1964,1934,96,1935,/players/c/connre01.html,Red Conn,LW
154,62,1902-06-01,1964-06-22,1964,1927,99,1933,/players/h/hartgi01.html,Gizzy Hart,LW
155,57,1906-09-23,1964-03-21,1964,1926,475,1937,/players/l/larocwi01.html,Wildor Larochelle,RW
156,78,1886-01-13,1964-08-05,1964,1918,3,1918,/players/r/rossar01.html,Art Ross,D
157,61,1902-04-02,1963-11-29,1964,1925,443,1935,/players/s/smithal02.html,Alex Smith,D
158,55,1908-11-17,1964-11-02,1965,1933,111,1938,/players/a/asmunos01.html,Oscar Asmundson,C
159,28,1936-08-24,1965-05-30,1965,1957,306,1965,/players/b/balfomu01.html,Murray Balfour,RW
160,49,1915-02-16,1964-09-16,1965,1937,327,1952,/players/b/bauerbo01.html,Bobby Bauer,RW
161,58,1906-02-13,1964-10-16,1965,1928,36,1928,/players/c/callipa01.html,Patsy Callighen,D
162,74,1890-03-21,1964-10-09,1965,1925,4,1925,/players/c/cookll01.html,Lloyd Cook,D
163,70,1895-03-02,1965-07-01,1965,1926,216,1931,/players/d/druryhe01.html,Herb Drury,D/RW
164,65,1900-01-06,1965-08-01,1965,1927,44,1927,/players/h/haldeha01.html,Harold Halderson,D
165,71,1894-03-31,1965-07-23,1965,1918,4,1924,/players/h/hebersa01.html,Sammy Hebert,G
166,64,1900-12-10,1965-08-14,1965,1929,90,1931,/players/h/hickshe01.html,Henry Hicks,D
167,71,1894-08-25,1965-08-31,1965,1925,151,1928,/players/l/langlch01.html,Charlie Langlois,RW/D
168,46,1919-03-26,1965-04-07,1965,1944,187,1950,/players/l/legerro01.html,Roger Leger,D
169,59,1905-02-19,1964-10-25,1965,1927,120,1929,/players/o/oatmaru01.html,Russell Oatman,LW
170,55,1910-02-22,1965-08-15,1965,1931,147,1935,/players/r/rocheea01.html,Earl Roche,LW
171,66,1898-09-15,1965-02-02,1965,1925,8,1925,/players/s/sparrem01.html,Emory Sparrow,RW/C
172,54,1910-03-05,1964-12-26,1965,1933,549,1945,/players/t/thomsbi01.html,Bill Thoms,C
173,71,1894-05-18,1965-09-07,1966,1925,8,1925,/players/b/bensobo01.html,Bobby Benson,D
174,62,1903-01-17,1965-11-01,1966,1927,307,1935,/players/b/bourgle01.html,Leo Bourgeault,D
175,49,1917-01-11,1966-06-03,1966,1939,73,1943,/players/b/brownco01.html,Connie Brown,C
176,69,1897-06-18,1966-08-05,1966,1928,2,1928,/players/c/clarkno01.html,Nobby Clark,D
177,74,1891-02-02,1966-01-19,1966,1927,64,1928,/players/f/foystfr01.html,Frank Foyston,C/RW
178,66,1899-12-12,1966-07-25,1966,1924,195,1929,/players/g/greenre01.html,Red Green,LW
179,55,1911-01-19,1966-06-25,1966,1930,634,1944,/players/j/jacksbu01.html,Busher Jackson,LW
180,70,1896-02-28,1966-06-25,1966,1924,14,1924,/players/l/loughwi01.html,Wilf Loughlin,D/LW
181,65,1900-05-07,1966-02-26,1966,1927,41,1927,/players/m/mackere01.html,Reg Mackey,D
182,50,1916-05-03,1966-06-21,1966,1944,56,1945,/players/m/majeafe01.html,Fern Majeau,C/LW
183,65,1900-06-13,1965-11-08,1966,1926,148,1929,/players/m/mccurdu01.html,Duke McCurry,LW
184,53,1912-07-09,1966-05-24,1966,1938,45,1939,/players/m/molynla01.html,Larry Molyneaux,D
185,73,1893-01-26,1966-04-13,1966,1918,349,1930,/players/n/nighbfr01.html,Frank Nighbor,C
186,22,1943-09-11,1966-03-25,1966,1965,3,1965,/players/p/paulbu01.html,Butch Paul,C
187,79,1886-09-27,1966-08-01,1966,1920,10,1920,/players/s/smithto01.html,Tommy Smith,C
188,66,1900-11-25,1967-05-29,1967,1927,159,1930,/players/c/carsobi01.html,Bill Carson,C
189,37,1929-01-19,1966-11-16,1967,1953,161,1956,/players/h/hannigo01.html,Gord Hannigan,C
190,61,1905-11-04,1967-08-15,1967,1932,15,1932,/players/j/jeremed01.html,Ed Jeremiah,RW/D
191,56,1910-01-13,1966-12-09,1967,1929,164,1938,/players/k/kleinll01.html,Lloyd Klein,LW
192,56,1910-04-24,1967-04-17,1967,1931,9,1931,/players/n/newmajo01.html,John Newman,C/LW
193,52,1915-03-28,1967-05-28,1967,1941,20,1945,/players/p/papikjo01.html,Joe Papike,RW
194,49,1917-09-18,1967-01-09,1967,1944,7,1944,/players/s/smithca01.html,Carl Smith,RW
195,59,1907-02-06,1966-12-26,1967,1924,14,1934,/players/s/speyech01.html,Chris Speyer,D
196,73,1894-06-14,1968-05-01,1968,1918,173,1927,/players/a/adamsja01.html,Jack Adams,C
197,58,1909-04-27,1968-02-18,1968,1931,211,1936,/players/a/ayresve01.html,Vern Ayres,D
198,42,1926-03-15,1968-08-03,1968,1944,188,1954,/players/b/bullehy01.html,Hy Buller,D
199,63,1905-01-28,1968-03-07,1968,1928,503,1938,/players/b/burkema01.html,Marty Burke,D
200,58,1909-12-20,1967-12-30,1968,1930,461,1941,/players/c/conacch01.html,Charlie Conacher,RW
201,57,1910-07-04,1968-05-05,1968,1931,281,1941,/players/c/cudewi01.html,Wilf Cude,G
202,27,1940-10-02,1968-01-26,1968,1963,1,1963,/players/d/drapebr01.html,Bruce Draper,C
203,51,1916-01-16,1968-01-01,1968,1935,161,1941,/players/d/drouipo01.html,Polly Drouin,LW
204,43,1924-12-23,1968-04-17,1968,1950,3,1951,/players/k/kylebi01.html,Bill Kyle,C
205,60,1907-09-13,1967-12-31,1968,1929,100,1936,/players/l/lesiear01.html,Art Lesieur,D
206,65,1902-08-12,1968-01-24,1968,1925,53,1926,/players/l/lowrefr01.html,Fred Lowrey,RW
207,29,1938-08-13,1968-01-15,1968,1968,38,1968,/players/m/mastebi01.html,Bill Masterton,C
208,65,1903-07-23,1968-08-28,1968,1927,311,1934,/players/s/sheppjo01.html,Johnny Sheppard,LW
209,75,1893-02-15,1968-04-08,1968,1918,25,1926,/players/s/steveph01.html,Phil Stevens,C/D
210,63,1905-12-08,1969-08-20,1969,1928,507,1940,/players/b/barryma01.html,Marty Barry,C
211,58,1910-12-16,1969-02-22,1969,1931,34,1933,/players/c/conveed01.html,Eddie Convey,LW/C
212,59,1909-08-22,1968-10-15,1969,1929,5,1929,/players/d/daleyfr01.html,Frank Daley,LW/C
213,72,1896-08-03,1968-12-05,1969,1918,37,1926,/players/g/gerange01.html,Gerry Geran,C
214,71,1897-10-31,1968-12-05,1969,1925,206,1930,/players/h/herbeji01.html,Jimmy Herbert,C/RW
215,67,1901-11-03,1969-01-12,1969,1923,417,1934,/players/h/hitchli01.html,Lionel Hitchman,D
216,66,1902-09-24,1968-11-20,1969,1924,116,1929,/players/h/holwaal01.html,Albert Holway,D
217,80,1889-01-02,1969-08-08,1969,1918,17,1918,/players/h/hylanha01.html,Harry Hyland,RW
218,69,1899-03-21,1968-11-26,1969,1925,1,1925,/players/l/laflero01.html,Roland Lafleur,LW
219,79,1890-02-28,1969-05-15,1969,1918,126,1924,/players/m/malonjo01.html,Joe Malone,C/LW
220,79,1889-08-27,1969-01-22,1969,1921,22,1921,/players/m/mcdonmo01.html,Moylan McDonnell,D
221,66,1902-07-15,1969-02-08,1969,1926,208,1931,/players/m/mckinjo01.html,John McKinnon,D
222,73,1896-01-04,1969-01-12,1969,1925,55,1926,/players/m/mitchhe01.html,Herb Mitchell,LW
223,64,1904-12-14,1968-12-24,1969,1929,98,1931,/players/p/pettier01.html,Eric Pettinger,LW/C
224,74,1895-05-25,1969-05-25,1969,1927,9,1927,/players/r/rileyji01.html,Jim Riley,LW
225,69,1899-02-03,1968-11-28,1969,1925,53,1926,/players/s/shayno01.html,Norm Shay,D/RW
226,55,1914-01-31,1969-03-08,1969,1941,32,1941,/players/s/singbal01.html,Alex Singbush,D
227,62,1907-09-03,1969-09-14,1970,1930,85,1940,/players/b/bartocl01.html,Cliff Barton,RW
228,50,1919-04-13,1970-02-08,1970,1941,215,1947,/players/b/bibeapa01.html,Paul Bibeault,G
229,71,1899-02-02,1970-07-05,1970,1933,3,1933,/players/d/davisbo01.html,Bob Davis,RW
230,61,1908-04-26,1969-11-13,1970,1931,453,1940,/players/d/dilloce01.html,Cecil Dillon,RW
231,73,1897-07-22,1970-08-09,1970,1924,1,1924,/players/f/frasech01.html,Charles Fraser,D
232,62,1907-08-20,1970-06-02,1970,1931,10,1935,/players/k/kennyer01.html,Ernest Kenny,D
233,62,1907-06-11,1969-09-08,1970,1926,633,1940,/players/k/kilrehe01.html,Hec Kilrea,LW
234,60,1909-08-08,1970-07-11,1970,1938,39,1938,/players/k/kirkbo01.html,Bobby Kirk,RW
235,78,1891-06-01,1969-12-21,1970,1925,30,1925,/players/m/matzjo01.html,Johnny Matz,C
236,48,1921-01-21,1969-09-12,1970,1941,125,1948,/players/q/quiltjo01.html,John Quilty,C
237,40,1929-12-28,1970-05-31,1970,1950,971,1970,/players/s/sawchte01.html,Terry Sawchuk,G
238,58,1911-07-09,1970-01-19,1970,1944,9,1944,/players/w/wilkijo01.html,John Wilkinson,D
239,53,1917-01-01,1970-09-10,1971,1943,50,1944,/players/a/aubucos01.html,Ossie Aubuchon,LW
240,21,1949-10-21,1971-04-13,1971,1970,76,1970,/players/b/briermi01.html,Michel Briere,C
241,78,1892-07-13,1971-03-05,1971,1919,303,1929,/players/b/broadpu01.html,Punch Broadbent,RW
242,51,1919-09-16,1970-10-11,1971,1940,80,1946,/players/c/chadjo01.html,John Chad,RW
243,65,1905-03-23,1971-02-09,1971,1926,1,1926,/players/c/cormiro01.html,Roger Cormier,RW
244,78,1891-12-23,1970-09-10,1971,1918,329,1929,/players/d/dennecy01.html,Cy Denneny,LW
245,55,1915-12-15,1971-05-15,1971,1935,470,1945,/players/j/jacksar01.html,Art Jackson,C
246,83,1887-10-31,1970-11-21,1971,1918,99,1927,/players/l/lalonne01.html,Newsy Lalonde,C
247,61,1909-08-22,1971-02-07,1971,1933,94,1934,/players/m/martiro01.html,Ron Martin,RW
248,59,1912-02-01,1971-05-17,1971,1935,93,1939,/players/m/masonch01.html,Charley Mason,RW
249,61,1909-02-01,1971-01-18,1971,1931,113,1935,/players/r/rochede01.html,Des Roche,RW
250,78,1893-01-01,1971-05-16,1971,1928,1,1928,/players/s/stanlba01.html,Barney Stanley,RW
251,65,1905-10-09,1971-05-07,1971,1927,5,1927,/players/t/townsar01.html,Art Townsend,D
252,58,1912-09-28,1971-06-06,1971,1933,412,1944,/players/w/wiebear01.html,Art Wiebe,D
253,61,1910-07-09,1971-09-15,1972,1935,316,1942,/players/a/anderto01.html,Tom Anderson,LW/D
254,59,1912-11-04,1972-01-05,1972,1936,1,1936,/players/b/bennema01.html,Max Bennett,RW
255,75,1896-12-05,1972-01-28,1972,1924,39,1926,/players/c/camerbi01.html,Billy Cameron,RW
256,86,1885-11-07,1971-12-19,1972,1918,38,1919,/players/c/crawfru01.html,Rusty Crawford,LW
257,80,1891-05-08,1972-01-11,1972,1927,100,1929,/players/g/gardihe01.html,Herb Gardiner,D
258,49,1922-06-28,1972-01-14,1972,1946,551,1954,/players/g/geege01.html,George Gee,C
259,76,1895-03-21,1972-01-17,1972,1927,82,1929,/players/k/keatsdu01.html,Duke Keats,C
260,78,1893-03-16,1971-11-19,1972,1920,9,1921,/players/m/mcleafr01.html,Fred McLean,D
261,77,1894-11-04,1971-12-13,1972,1918,64,1927,/players/m/meekiha01.html,Harry Meeking,LW
262,57,1914-10-27,1972-05-25,1972,1940,10,1940,/players/p/poirigo01.html,Gordie Poirier,C
263,63,1908-09-10,1972-04-27,1972,1931,142,1938,/players/r/rungepa01.html,Paul Runge,C/LW
