,age,birth date,death date,experience,games,name
56,40.0,1919-08-10,1959-09-18,4,196,Bob Doll
57,,1919-09-24,1974-10-00,1,21,Woody Grimshaw
58,94.0,1919-02-27,2013-03-04,5,303,Chick Halbert
59,74.0,1919-08-16,1994-08-12,1,14,Dale Hamilton
60,89.0,1919-05-18,2009-02-02,2,105,Ralph Kaplowitz
61,74.0,1919-04-13,1993-12-18,1,59,Tony Kappen
62,86.0,1919-12-10,2006-07-09,1,1,Jack Maddox
63,83.0,1919-10-03,2003-06-22,2,81,John Mandic
64,,,1973--00,1,19,Howie McCarty
65,78.0,1919-01-01,1997-05-16,6,318,Bones McKinney
66,75.0,1919-09-07,1995-08-25,1,47,John Mills
67,85.0,1919-04-22,2004-07-17,2,53,Marty Passaglia
68,,,,1,37,George Pearcy
69,92.0,1919-03-23,2011-09-21,2,100,Mickey Rottner
70,94.0,1919-03-30,2013-07-30,1,54,Ossie Schectman
71,78.0,1919-01-16,1997-10-08,1,14,Mel Thurston
72,85.0,1919-07-10,2004-09-22,1,48,Harry Zeller
73,86.0,1919-12-19,2006-12-15,1,56,Matt Zunic
74,85.0,1920-05-11,2006-04-17,2,61,Price Brookfield
75,84.0,1920-02-29,2004-08-09,1,16,John Chaney
76,85.0,1920-06-13,2005-12-28,1,7,Paul Cloyd
77,70.0,1920-01-15,1990-04-22,7,462,Bob Davies
78,55.0,1920-10-03,1975-11-30,1,47,Bill Davis
79,56.0,1920-01-02,1976-06-08,4,221,Bob Feerick
80,47.0,1920-11-18,1968-04-13,2,61,Dick Fitzgerald
81,91.0,1920-07-24,2012-04-03,1,28,Frank Fucarino
82,58.0,1920-04-12,1978-07-26,1,64,Frank Gates
83,59.0,1920-08-14,1980-07-07,1,16,Gorham Getchell
84,84.0,1920-12-22,2005-05-17,2,79,Pop Goodwin
85,51.0,1920-11-28,1972-08-16,2,84,Leo Gottlieb
86,65.0,1920-08-20,1986-01-02,2,89,John Hargis
87,78.0,1920-08-10,1998-11-13,6,358,Red Holzman
88,72.0,1920-03-15,1992-08-25,2,70,John Janisch
89,75.0,1920-02-22,1995-04-22,4,242,Tony Jaros
90,80.0,1920-05-16,2000-06-06,5,332,Arnie Johnson
91,79.0,1920-01-30,1999-09-17,1,27,Harold Johnson
92,90.0,1920-09-02,2010-10-03,1,28,Roger Jorgensen
93,64.0,1920-09-16,1985-09-02,2,118,Bob Kinney
94,56.0,1920-06-22,1977-05-25,1,64,Milo Komenich
95,87.0,1920-06-23,2008-02-01,1,1,Pete Lalich
96,92.0,1920-04-11,2012-04-30,3,103,Andrew Levane
97,82.0,1920-10-05,2002-12-26,1,5,Al Lujack
98,66.0,1920-08-20,1987-04-15,1,51,Press Maravich
99,79.0,1920-05-25,1999-07-24,2,92,Dino Martin
100,77.0,1920-02-07,1997-09-30,3,137,Don Martin
101,69.0,1920-09-19,1990-06-14,1,2,Chet McNabb
102,71.0,1920-09-09,1991-11-15,3,110,Stan Noszka
103,72.0,1920-01-19,1992-02-19,3,146,Buddy O'Grady
104,89.0,1920-06-16,2010-02-27,1,60,Hank Rosenstein
105,89.0,1920-01-07,2009-02-25,1,48,Deb Smith
106,75.0,1920-07-27,1996-03-01,1,8,Don Smith
107,70.0,1920-02-10,1990-04-09,1,60,Chips Sobek
108,66.0,1920-10-17,1987-06-18,4,169,Art Spector
109,93.0,1920-10-23,2013-12-13,1,23,Art Stolkey
110,55.0,1920-04-14,1975-10-28,3,166,Stan Stutz
111,78.0,1920-08-28,1999-04-07,2,82,Bob Tough
112,92.0,1920-06-20,2012-11-25,2,128,Blackie Towery
113,76.0,1920-01-20,1996-02-29,1,63,Clint Wager
114,46.0,1921-06-21,1968-01-01,1,58,Herschel Baltimore
115,77.0,1921-01-15,1998-03-17,3,149,Cliff Barker
116,71.0,1921-06-15,1992-12-22,3,136,Charlie Black
117,75.0,1921-06-02,1996-10-03,1,13,Tom Callahan
118,71.0,1921-04-10,1992-11-10,2,53,Chuck Connors
119,,,,1,3,Ken Corley
120,75.0,1921-03-28,1996-11-23,1,59,Aubrey Davis
121,72.0,1921-05-03,1993-08-04,1,60,Jack Dwan
122,80.0,1921-09-02,2002-04-23,1,51,Bob Faught
123,78.0,1921-10-26,2000-05-16,1,23,Frido Frey
124,54.0,1921-10-26,1976-03-21,8,489,Joe Fulks
125,36.0,1921-12-05,1958-02-01,1,32,Hoot Gibson
126,,,,1,14,Gene Gillette
127,61.0,1921-06-10,1983-06-03,1,48,Ralph Hamilton
128,71.0,1921-10-21,1992-11-15,2,91,Billy Hassett
129,,1921-07-31,1968-12-00,1,13,Mel Hirsch
130,61.0,1921-09-16,1983-06-12,2,65,Charlie Hoefer
131,87.0,1921-10-29,2009-07-27,1,48,Dick Holub
132,83.0,1921-12-06,2005-07-11,4,204,Ralph Johnson
133,51.0,1921-12-28,1973-01-19,2,51,Johnny Jorgensen
134,92.0,1921-10-21,2014-07-12,1,11,Herm Klotz
135,82.0,1921-07-15,2003-07-22,4,131,Lee Knorek
136,85.0,1921-02-10,2007-01-17,1,21,Andy Kostecka
137,73.0,1921-01-06,1994-12-27,2,95,Freddie Lewis
138,56.0,1921-01-01,1977-09-16,5,258,John Logan
139,50.0,1921-04-13,1971-05-31,4,231,Leo Mogus
140,52.0,1921-03-10,1973-10-22,1,31,Dick Murphy
141,76.0,1921-06-12,1998-01-19,1,11,Al Negratti
142,82.0,1921-05-26,2003-12-27,2,115,Richie Niemiera
143,81.0,1921-03-05,2002-03-06,5,217,Johnny Norlander
144,79.0,1921-05-23,2001-01-17,1,9,Garland O'Shields
145,64.0,1921-04-18,1985-09-18,4,219,Don Otten
146,91.0,1921-09-14,2013-03-19,3,148,Bud Palmer
147,60.0,1921-12-27,1982-10-04,3,133,Easy Parham
148,86.0,1921-12-06,2008-09-05,1,58,Doyle Parrack
149,69.0,1921-03-29,1991-02-02,1,13,Howie Rader
150,88.0,1921-07-18,2009-08-25,1,2,Ray Ramsey
151,77.0,1921-07-08,1998-11-23,1,61,Don Ray
152,86.0,1921-03-07,2007-09-06,1,3,Bob Rensberger
153,80.0,1921-11-04,2002-10-31,1,11,Gene Rock
154,87.0,1921-12-31,2009-07-18,3,131,Irv Rothenberg
155,95.0,1921-01-14,2016-01-30,5,276,Kenny Sailors
156,80.0,1921-11-23,2002-07-08,3,134,Earl Shannon
157,82.0,1921-08-15,2004-05-30,2,76,Ed Stanczak
158,81.0,1921-09-19,2003-09-17,1,15,Buck Sydnor
159,73.0,1921-06-21,1995-01-05,1,54,Floyd Volker
160,86.0,1921-03-15,2007-11-30,4,228,Brady Walker
161,94.0,1921-06-04,2016-01-23,9,568,Bobby Wanzer
162,93.0,1921-10-07,2014-10-26,1,6,Bob Wood
163,74.0,1922-01-14,1996-04-20,1,6,Hank Biasatti
164,81.0,1922-06-04,2003-12-26,1,56,Gale Bishop
165,78.0,1922-07-24,2001-02-20,2,109,Harry Boykoff
166,66.0,1922-06-18,1989-01-24,1,60,Michael Bytzura
167,67.0,1922-10-13,1990-08-31,8,544,Nat Clifton
168,89.0,1922-01-08,2011-06-06,3,186,Bill Closs
169,82.0,1922-09-09,2004-09-18,2,123,Fran Curran
170,69.0,1922-05-24,1991-12-19,3,146,Howie Dallmar
171,71.0,1922-06-19,1994-04-29,1,26,Jimmy Darden
172,86.0,1922-02-12,2009-01-02,1,5,Hank DeZonie
173,55.0,1922-07-05,1978-06-11,1,17,Bob Duffy
174,83.0,1922-04-17,2006-04-12,3,136,Andy Duncan
175,78.0,1922-12-27,2001-08-01,4,267,Dike Eddleman
176,71.0,1922-11-18,1994-10-07,2,6,Ray Ellefson
177,89.0,1922-03-21,2012-02-20,3,135,Johnny Ezersky
178,86.0,1922-02-08,2009-01-18,1,33,Warren Fenley
179,85.0,1922-02-14,2007-07-20,5,262,Jerry Fleishman
180,,,,6,307,Bill Gabor
181,72.0,1922-06-22,1994-10-25,1,23,Bob Gantt
182,88.0,1922-08-13,2011-01-14,5,239,Chuck Gilmur
183,71.0,1922-03-20,1994-01-30,2,67,Wyndol Gray
184,80.0,1922-01-06,2002-06-03,2,80,Cecil Hankins
185,82.0,1922-07-29,2005-07-24,5,293,Sonny Hertzberg
186,88.0,1922-12-27,2011-08-27,2,62,Bob Hubbard
187,71.0,1922-08-12,1993-10-14,1,46,Roy Hurley
188,85.0,1922-12-02,2008-10-19,1,18,Fred Jacobs
189,60.0,1922-08-16,1983-02-24,1,28,Ken Keller
190,82.0,1922-08-22,2004-11-30,1,53,Harold Kottman
191,68.0,1922-02-17,1990-03-27,2,52,Ray Kuka
192,74.0,1922-11-17,1997-09-09,1,55,Walt Lautenbach
193,72.0,1922-07-04,1995-04-26,1,2,Al Lucas
194,78.0,1922-06-16,2000-12-14,7,414,John Mahnken
195,69.0,1922-03-02,1991-10-02,2,68,Mike McCarron
196,75.0,1922-04-18,1997-12-27,2,81,George Mearns
197,64.0,1922-05-20,1986-12-14,3,193,Dick Mehen
198,79.0,1922-10-02,2002-09-02,1,6,Ken Menke
199,76.0,1922-02-23,1998-03-14,2,116,Dave Minor
200,75.0,1922-08-03,1997-11-25,2,31,Elmore Morgenthaler
201,66.0,1922-11-01,1989-07-22,1,54,Bob Mullens
202,92.0,1922-01-05,2014-08-19,2,80,George Munroe
203,85.0,1922-06-30,2008-06-16,1,14,Gene Ollrich
204,81.0,1922-07-13,2003-12-12,1,39,George Pastushok
205,77.0,1922-05-05,2000-01-01,1,53,Stan Patrick
206,79.0,1922-07-21,2002-01-11,1,29,Henry Pearcy
207,92.0,1922-02-02,2014-09-12,2,126,Warren Perkins
208,79.0,1922-03-07,2001-04-29,11,701,Andy Phillip
209,70.0,1922-07-09,1993-01-22,7,438,Jim Pollard
210,56.0,1922-09-18,1979-02-25,2,116,Les Pugh
211,83.0,1922-10-16,2006-08-03,1,23,Roy Pugh
212,83.0,1922-11-13,2006-06-26,4,216,Don Putman
213,85.0,1922-11-13,2008-11-10,6,343,George Ratkovicz
214,46.0,1922-02-11,1968-04-08,2,47,Lee Robbins
215,88.0,1922-08-12,2010-11-27,1,9,Jack Rocker
216,92.0,1922-02-25,2015-01-18,2,103,Milt Schoon
217,87.0,1922-07-03,2009-10-30,3,173,Howie Schultz
218,80.0,1922-03-01,2002-10-17,9,534,Fred Scolari
219,78.0,1922-09-01,2001-06-12,4,231,Jim Seminoff
220,79.0,1922-04-04,2001-06-25,8,482,George Senesky
221,77.0,1922-12-22,2000-07-30,2,118,Jack Smiley
222,58.0,1922-11-12,1981-06-23,1,4,Lou Spicer
223,83.0,1922-11-01,2006-09-02,1,17,Andy Tonkovich
224,85.0,1922-08-09,2008-03-12,3,131,Jack Toomay
225,92.0,1922-11-03,2015-02-20,2,59,Dick Triptow
226,84.0,1922-10-28,2007-08-22,4,175,Butch van Breda Kolff
227,,,,1,59,Whitey Von Nieda
228,75.0,1922-08-01,1997-12-27,1,11,Danny Wagner
229,84.0,1922-01-01,2006-01-19,2,68,Ray Wertis
230,,,,1,4,Norm Baker
231,69.0,1923-03-31,1993-03-08,4,262,Don Barksdale
232,94.0,1923-05-01,2017-05-14,7,438,Frankie Brian
233,68.0,1923-09-22,1992-06-10,1,58,Al Brightman
234,34.0,1923-12-31,1958-11-19,1,12,Aud Brindley
235,92.0,1923-11-12,2016-07-28,2,82,Bob Brown
236,67.0,1923-03-14,1990-10-07,1,3,Darrell Brown
237,,1923-10-02,1980-09-00,1,54,Harold Brown
238,57.0,1923-02-19,1981-01-09,5,264,Tommy Byrnes
239,81.0,1923-04-01,2004-10-11,1,51,Bobby Cook
240,63.0,1923-12-31,1987-11-02,1,4,Hal Crisler
241,57.0,1923-07-04,1981-01-10,3,147,Chink Crossin
242,,,,1,3,Bill Downey
243,90.0,1923-03-10,2013-06-17,2,99,Bulbs Ehlers
244,60.0,1923-03-14,1983-07-23,2,78,Bob Fitzgerald
245,82.0,1923-09-18,2005-10-15,1,50,Earl Gardner
246,79.0,1923-08-25,2003-04-08,1,44,Dee Gibson
247,91.0,1923-08-27,2014-11-22,1,2,Don Grate
248,82.0,1923-02-05,2005-07-14,2,84,Coulby Gunther
249,78.0,1923-07-19,2002-01-18,8,516,Alex Hannum
250,70.0,1923-03-12,1994-03-02,6,288,Kleggie Hermsen
251,66.0,1923-08-13,1989-11-03,1,8,Ed Kasid
252,83.0,1923-04-17,2006-05-06,2,107,Leo Katkaveck
253,82.0,1923-05-21,2005-06-04,2,113,Leo Klier
254,,,,1,13,Dan Kraus
255,83.0,1923-08-31,2007-04-21,1,24,Hank Lefkowitz
256,91.0,1923-07-11,2015-01-16,5,300,Ray Lumpp
257,,,,2,117,Johnny Macknowswki
258,74.0,1923-02-23,1997-08-04,5,259,Ariel Maughan
259,79.0,1923-09-23,2003-06-11,1,26,Matt Mazza
260,66.0,1923-09-19,1989-10-18,6,365,Stan Miasek
261,86.0,1923-05-03,2009-05-14,1,57,Nat Militzok
262,83.0,1923-07-28,2007-04-18,1,53,Harry Miller
263,,,,1,3,Wat Misaka
264,90.0,1923-03-19,2013-06-11,1,2,Murray Mitchell
265,74.0,1923-02-03,1997-06-22,1,1,Paul Napolitano
266,83.0,1923-09-29,2006-12-17,4,172,Dick O'Keefe
267,,,,2,127,John Oldham
268,,,,1,35,Jim Riffey
269,86.0,1923-09-18,2010-02-13,9,586,Red Rocha
270,89.0,1923-09-14,2012-10-09,3,168,Kenny Rollins
271,88.0,1923-06-28,2011-08-19,3,151,Giff Roux
272,93.0,1923-06-23,2016-10-21,4,95,Jerry Rullo
273,84.0,1923-04-15,2008-03-10,1,43,Otto Schnellbacher
274,,,,1,61,Wayne See
275,72.0,1923-06-10,1995-08-16,2,122,Howie Shannon
276,86.0,1923-11-05,2009-12-08,1,22,Fred Sheffield
277,90.0,1923-02-07,2014-01-21,1,4,Dick Shrider
278,66.0,1923-12-31,1990-11-21,1,21,Ralph Siewert
279,82.0,1923-02-26,2006-01-08,1,1,Jim Spruill
280,,,,3,148,Gene Stump
281,77.0,1923-06-11,2000-06-24,2,131,Mike Todorovich
282,88.0,1923-02-25,2012-02-16,5,175,Gene Vance
283,92.0,1923-03-25,2015-10-19,2,59,D.C. Wilcutt
284,82.0,1923-06-26,2005-12-17,1,53,Ward Williams
285,91.0,1924-07-10,2016-01-18,1,34,Johnny Bach
286,76.0,1924-05-11,2000-08-25,5,344,Leo Barnhorst
287,79.0,1924-02-25,2003-12-08,4,227,Nelson Bobb
288,89.0,1924-07-25,2014-01-10,1,24,Ike Borsavage
289,69.0,1924-04-07,1993-09-19,2,74,Art Burris
290,79.0,1924-01-30,2003-10-20,3,165,Ernie Calverley
291,,,,1,24,Jake Carter
292,73.0,1924-05-23,1997-12-08,9,633,Jack Coleman
293,85.0,1924-01-23,2009-07-01,1,15,Joe Colone
294,91.0,1924-10-25,2016-09-26,1,54,Jack Cotton
295,70.0,1924-01-24,1994-09-23,1,10,Red Dehnert
296,80.0,1924-01-08,2004-01-18,1,22,Hook Dillon
297,79.0,1924-11-01,2004-10-30,1,9,Earl Dodd
298,89.0,1924-01-21,2013-02-11,1,23,Jack Eskridge
299,72.0,1924-04-03,1996-09-15,1,48,Phil Farbman
300,,,,1,39,Marshall Hawkins
301,60.0,1924-12-27,1985-12-23,2,95,Bill Henry
302,86.0,1924-05-17,2010-06-13,1,13,Bill Herman
303,87.0,1924-09-07,2012-06-26,1,24,Jack Hewson
304,86.0,1924-10-19,2010-11-22,1,9,Howie Janotta
305,84.0,1924-03-05,2008-03-20,1,27,Tom Kelly
306,91.0,1924-03-09,2015-11-12,1,58,Tom King
307,88.0,1924-09-03,2012-12-12,3,118,Walt Kirk
308,64.0,1924-11-15,1989-09-17,1,44,Lionel Malamed
309,,,,1,43,Saul Mariaschin
310,80.0,1924-06-18,2005-06-01,7,439,George Mikan
311,,,,1,28,Bill Miller
312,,,,1,25,Chuck Mrazovich
313,75.0,1924-11-17,2000-03-08,1,37,Joe Mullaney
314,78.0,1924-09-13,2003-01-29,1,20,John Murphy
315,65.0,1924-01-03,1989-06-05,1,50,Fritz Nagy
316,81.0,1924-08-17,2005-11-16,5,201,Paul Noel
317,57.0,1924-01-25,1981-11-08,4,221,George Nostrand
318,73.0,1924-03-04,1997-05-29,1,4,Jack Parkinson
319,59.0,1924-06-27,1984-03-20,2,115,Ed Peterson
320,87.0,1924-10-09,2012-08-04,10,637,Arnie Risen
321,80.0,1924-02-26,2004-10-15,3,151,Tex Ritter
322,,,,6,384,Pep Saul
323,90.0,1924-03-09,2015-01-30,1,37,Ben Schadler
324,,,,1,34,Rollie Seltz
325,49.0,1924-10-25,1974-10-25,2,53,Carl Shaeffer
326,90.0,1924-09-11,2015-01-27,1,43,Bob Shea
327,84.0,1924-07-07,2008-08-01,1,60,Johnny Simmons
328,91.0,1924-12-17,2016-06-26,1,6,Gino Sovran
329,60.0,1924-06-17,1985-03-28,8,479,Odie Spears
330,33.0,1924-12-30,1958-09-22,2,39,Jack Tingle
331,82.0,1925-10-08,2007-11-04,2,32,Ed Bartels
332,86.0,1925-03-06,2011-03-10,3,195,Don Boven
333,79.0,1925-05-28,2005-02-05,5,338,Bob Brannum
334,87.0,1925-07-30,2013-05-25,4,253,Walt Budko
335,90.0,1925-02-04,2015-04-13,2,104,Gerry Calabrese
336,73.0,1925-03-05,1998-06-10,2,63,Leroy Chollet
337,89.0,1925-01-19,2014-09-01,4,154,Dillard Crocker
338,72.0,1925-05-31,1997-09-27,1,47,Bob Evans
339,,,,3,178,Arnie Ferrin
340,62.0,1925-05-14,1987-08-26,3,151,Vern Gardner
341,64.0,1925-08-07,1990-08-02,1,57,Al Guokas
342,83.0,1925-08-25,2009-07-28,1,10,Robert Hahn
343,73.0,1925-04-12,1998-11-12,6,317,Paul Hoffman
344,82.0,1925-02-09,2008-02-03,1,3,Doug Holcomb
345,84.0,1925-09-26,2010-09-18,3,186,Joe Holland
346,66.0,1925-06-02,1992-02-02,1,46,Paul Huston
347,72.0,1925-02-15,1997-07-06,3,88,Gene James
348,57.0,1925-05-18,1982-11-02,5,268,Noble Jorgensen
349,67.0,1925-09-15,1993-03-07,1,52,Whitey Kachan
350,58.0,1925-01-30,1983-12-04,4,271,Jack Kerris
351,67.0,1925-06-25,1993-05-04,4,228,Frank Kudelka
352,65.0,1925-10-09,1991-08-26,2,117,Ron Livingstone
353,79.0,1925-08-05,2005-07-31,1,6,Frank Mangiapane
354,86.0,1925-10-22,2012-10-18,11,745,Slater Martin
355,91.0,1925-09-19,2017-06-01,1,1,Jack McCloskey
356,74.0,1925-10-20,1999-10-22,6,323,Ed Mikan
357,72.0,1925-03-14,1998-01-08,1,62,Max Morris
358,,,,1,25,Andy O'Donnell
359,77.0,1925-07-10,2003-02-21,3,174,Kevin O'Shea
360,90.0,1925-12-16,2015-12-26,1,59,Mac Otten
361,63.0,1925-09-02,1988-10-11,2,90,Red Owens
362,78.0,1925-12-07,2004-10-26,1,3,Fred Paine
363,71.0,1925-10-13,1997-10-01,1,9,Charlie Parsley
364,,,,1,55,Jack Phelan
365,65.0,1925-07-11,1991-06-14,1,9,John Pilch
366,90.0,1925-03-13,2016-01-23,2,117,Bill Roberts
367,84.0,1925-06-30,2010-02-10,5,334,Fred Schaus
368,64.0,1925-03-15,1989-04-15,10,598,Connie Simmons
369,60.0,1925-10-08,1986-09-04,2,70,Sid Tanenbaum
370,,,,1,9,Dick Wehr
371,59.0,1925-12-07,1985-10-15,10,540,Max Zaslofsky
372,,,,1,3,Gene Berce
373,61.0,1926-06-25,1987-09-02,1,2,Leon Blevins
374,78.0,1926-12-23,2005-09-27,1,61,Jack Burmaster
375,57.0,1926-09-29,1984-02-05,6,409,Chuck Cooper
376,86.0,1926-01-31,2012-03-16,1,14,Ed Dahler
377,84.0,1926-01-05,2010-05-05,1,17,Nate DeLong
378,79.0,1926-10-26,2006-07-03,1,45,Dick Dickey
379,56.0,1926-10-11,1983-09-21,4,273,Bob Donham
380,,,,1,45,Harry Donovan
381,,,,1,44,Donnie Forman
382,68.0,1926-10-07,1995-01-21,2,130,Alex Groza
383,88.0,1926-07-14,2014-07-27,3,140,Wah Wah Jones
384,,,,2,113,Duane Klueh
385,72.0,1926-11-19,1999-02-10,1,10,Herb Krautblatt
386,71.0,1926-07-11,1998-01-08,2,86,Tony Lavelli
387,84.0,1926-06-29,2010-12-18,4,264,Bob Lavoy
388,78.0,1926-03-23,2005-03-17,1,24,Norm Mager
389,75.0,1926-09-26,2002-02-03,1,51,Mel McGaha
390,84.0,1926-01-25,2010-02-03,11,738,Dick McGuire
391,84.0,1926-09-24,2011-07-16,2,118,Joe McNamee
392,,,,2,98,Carl Meinhold
393,66.0,1926-04-09,1992-12-24,9,505,Jack Nichols
394,82.0,1926-11-20,2009-02-27,2,120,Johnny Payak
395,74.0,1926-07-16,2001-05-12,2,111,Mel Payton
396,69.0,1926-03-29,1995-05-29,1,13,Glen Selbo
397,87.0,1926-05-25,2013-10-25,11,711,Bill Sharman
398,,,,6,341,Whitey Skoog
399,,,,1,2,Jim Springer
400,85.0,1926-06-02,2011-10-01,3,203,Bill Tosheff
401,89.0,1926-12-12,2016-04-06,1,56,Murray Wier
402,,,,1,63,Bob Wilson
403,83.0,1927-12-09,2011-08-29,5,321,Jim Baechtold
404,,,,1,5,John Barber
405,79.0,1927-12-02,2007-11-29,2,126,Ralph Beard
406,59.0,1927-06-29,1986-09-10,2,75,Jake Bornheimer
407,89.0,1927-03-11,2016-03-27,5,285,Vince Boryla
408,82.0,1927-09-25,2010-02-10,13,788,Carl Braun
409,,,,7,442,Bill Calhoun
410,84.0,1927-06-06,2011-08-31,5,291,Cal Christensen
411,53.0,1927-07-09,1981-01-05,2,77,Joe Dolhon
412,81.0,1927-04-28,2009-03-26,1,2,Ed Earle
413,80.0,1927-06-20,2008-06-15,1,6,Jerry Fowler
414,88.0,1927-04-26,2015-10-07,10,682,Harry Gallatin
415,,,,1,15,Ed Gayda
416,61.0,1927-11-10,1989-03-19,1,1,Normie Glick
417,75.0,1927-04-08,2002-11-02,1,4,Paul Gordon
418,,,,2,96,Bud Grant
419,50.0,1927-03-16,1977-04-10,5,325,Bob Harris
420,,,,9,615,Bob Harrison
421,71.0,1927-03-02,1998-10-21,1,6,John Hazen
422,,,,1,62,Leo Kubiak
423,,,,2,121,Ed Leede
424,,,,1,62,Bob Lochmueller
425,80.0,1927-11-20,2008-04-29,2,8,Mo Mahoney
426,67.0,1927-08-23,1995-04-13,2,109,Mal McMullen
427,55.0,1927-06-09,1983-04-19,1,5,Jim Nolan
428,81.0,1927-01-26,2008-09-19,2,46,Bob O'Brien
429,,,,1,4,Mike O'Neill
430,86.0,1927-06-10,2013-12-31,1,34,Johnny Orr
431,68.0,1927-12-16,1996-04-29,1,15,Claude Overton
432,85.0,1927-01-23,2012-08-03,1,7,John Pritchard
433,53.0,1927-01-07,1980-10-16,2,98,Don Rehfeldt
434,90.0,1927-09-02,2018-03-10,1,65,Gene Rhodes
435,45.0,1927-10-15,1973-05-30,1,42,Bob Royer
436,79.0,1927-02-18,2006-09-19,1,34,Marv Schatzman
437,85.0,1927-03-14,2012-06-07,9,596,Chuck Share
438,87.0,1927-03-23,2014-12-21,6,370,Paul Walther
439,78.0,1928-04-09,2006-12-12,10,713,Paul Arizin
440,85.0,1928-02-15,2014-01-13,1,7,Don Asmonga
441,58.0,1928-09-24,1987-06-05,1,46,Joe Bradley
442,79.0,1928-01-01,2007-02-05,3,102,Ray Corley
443,,,,14,924,Bob Cousy
444,78.0,1928-05-29,2007-02-18,3,142,Danny Finn
445,56.0,1928-06-24,1984-10-27,12,817,Larry Foust
446,60.0,1928-11-13,1989-01-30,8,506,Jack George
447,77.0,1928-04-17,2006-03-13,1,23,Bato Govedarica
448,74.0,1928-08-15,2003-07-15,1,7,Chuck Grigsby
449,,,,7,437,Mel Hutchins
450,81.0,1928-10-06,2009-10-19,2,120,Joe Hutton
451,,,,5,212,George Kaftan
452,78.0,1928-08-16,2006-10-05,6,411,George King
453,86.0,1928-04-03,2015-02-26,9,560,Earl Lloyd
454,73.0,1928-11-02,2002-06-07,1,31,Jim Luisi
455,83.0,1928-03-22,2011-11-09,10,641,Ed Macauley
